,Age,Civil,Can/US,Income
0,23.532389,29.42811,4.36037,44309.32
1,59.626422,23.836741,5.859656,79751.66
2,45.682512,8.227006,9.292625,68238.74
3,37.698205,14.36713,8.06957,107615.36
4,33.994757,17.807684,14.42789,54170.08
5,26.882009,13.043289,18.688364,101426.67
6,53.842859,9.138462,4.747932,76432.66
7,42.442568,19.264733,12.29712,57448.56
8,31.906834,11.764081,16.135605,60203.13
9,81.215532,12.416312,5.839766,79444.86
10,53.77399,20.887984,6.168898,96619.06
11,35.940005,1.732548,6.727001,89924.48
12,42.707532,12.874006,8.846593,89968.88
13,9.079582,20.946008,10.552738,102273.95
14,50.955519,28.922443,7.621261,30669.63
15,45.267637,18.176793,6.731224,113137.43
16,48.605993,30.570037,4.385733,77412.04
17,52.233819,25.814605,3.246501,35954.83
18,62.206974,12.674118,12.13834,64960.0
19,49.982072,11.363703,6.869758,80997.58
20,75.590107,26.513122,6.500797,115934.28
21,52.493193,19.091138,13.184026,84496.9
22,28.374695,26.790837,15.545151,80006.68
23,55.516388,20.922633,8.613632,38037.01
24,65.154747,22.582827,10.578372,84961.02
25,26.304376,14.686453,9.107645,162907.75
26,70.715498,18.334349,3.948309,88774.1
27,42.24049,18.140507,12.498873,82125.34
28,53.560822,21.242344,8.697504,78073.95
29,43.248115,16.268829,8.117798,75618.29
30,56.432621,20.599094,18.529186,41865.46
31,41.141973,27.840025,11.816953,88605.72
32,38.927568,28.103649,0.498865,115925.78
33,43.060564,15.859981,13.330741,93562.55
34,40.779694,25.559825,8.430193,62110.22
35,63.172696,18.308998,10.690004,48324.49
36,54.720039,24.107274,7.333687,87087.21
37,58.172396,21.49765,5.377434,79059.54
38,27.38778,16.61804,6.336821,73818.17
39,51.778954,17.730399,10.531135,80871.96
40,31.93691,14.526499,9.110852,49580.75
41,32.694012,29.266048,10.100635,57287.67
42,37.785012,16.313605,14.054034,22321.72
43,42.512147,16.776678,4.495178,80694.69
44,44.175977,18.845724,8.451563,101613.46
45,43.08511,19.112413,4.070279,129299.59
46,38.052534,26.016072,10.042079,96197.19
47,18.76836,30.890604,7.838419,84914.29
48,42.69398,24.254582,12.203349,64457.03
49,63.39901,15.951617,4.959822,45980.27
50,47.73758,21.84078,6.276407,37935.03
51,63.3375,16.68712,15.181407,68244.32
52,64.62566,8.653961,12.348222,95923.44
53,61.12597,10.937095,9.867441,172984.98
54,28.93022,19.352744,5.639552,61954.12
55,35.02604,8.81834,1.973732,142738.87
56,33.26865,-0.617459,6.457413,71943.8
57,27.89846,16.328401,11.110817,35271.01
58,35.13197,21.067151,9.051805,77678.44
59,37.88261,19.20572,9.221414,105934.5
60,20.58881,26.395693,9.164312,86522.47
61,33.59109,4.624334,8.078751,56337.68
62,64.67773,29.22852,4.910587,152749.21
63,31.57348,19.716716,10.629851,68859.7
64,31.64919,22.161503,11.010811,55543.67
65,58.56576,18.950223,10.5104,64451.98
66,30.88615,10.997022,13.125554,71679.3
67,23.61735,17.629785,5.032891,57692.24
68,69.56984,23.347131,8.557324,75156.09
69,37.14245,21.813314,7.858374,81202.14
70,26.91929,9.045653,10.847806,106267.36
71,60.064,16.530839,12.174473,68494.67
72,52.95456,14.412254,2.110831,68540.88
73,50.55268,24.316393,8.698874,99026.78
74,34.29229,21.790887,5.57018,55537.68
75,46.32972,6.521044,15.773852,48003.78
76,49.42401,14.540583,15.942546,107101.28
77,40.99183,16.255379,5.264684,99187.0
78,21.46442,30.52722,6.778565,94635.15
79,41.86589,23.320483,19.046629,68084.91
80,54.04422,12.732965,11.522474,144731.42
81,40.24288,17.482205,8.179686,78768.46
82,29.35824,14.960191,9.601594,79866.13
83,31.23262,13.471607,14.177519,86282.73
84,43.81709,34.40176,17.66385,102961.38
85,16.87616,10.859426,9.411403,84570.96
86,45.45257,14.39691,11.654254,76423.42
87,48.30879,22.953578,16.753305,78949.26
88,51.13177,25.439056,4.76722,76575.51
89,55.8244,-1.141984,13.903507,127348.52
90,35.56688,16.790185,9.610113,68065.27
91,51.51527,12.588804,9.945439,110496.82
92,46.98138,28.537849,7.012328,74087.97
93,40.00931,17.742257,12.69119,92522.83
94,61.78803,11.985086,4.550837,86076.27
95,31.44156,24.968817,6.708154,108166.49
96,57.06691,23.428117,7.569742,119333.23
97,27.53936,16.429567,5.155034,105672.61
98,30.68619,6.95877,5.8928,132857.08
99,34.34053,29.151823,8.313547,82661.4
100,36.04658,11.519307,17.107253,25736.34
101,49.23566,24.612394,10.843007,80948.06
102,34.55327,29.135165,12.946714,79748.86
103,43.13551,12.718241,4.463657,85735.36
