,Age,Civil,Can/US,Income
0,31.00364,23.26688,7.230798,86680.77
1,58.36153,17.76006,4.480846,64127.42
2,49.43488,14.58399,7.632419,88728.53
3,40.8756,16.54536,9.448964,80348.58
4,30.3865,14.09269,10.82812,76234.72
5,21.51478,14.62777,14.206017,81986.36
6,52.79831,16.20542,5.881757,73593.64
7,42.5571,21.26227,5.632542,63209.81
8,32.50106,20.83966,14.843309,42866.14
9,82.03417,18.70948,7.309711,119271.81
10,53.82093,24.90919,11.178427,86328.22
11,35.45004,14.98645,8.150639,85925.73
12,35.97384,18.26981,9.701499,107371.65
13,17.28443,19.28165,11.770937,93349.63
14,47.84746,21.9185,9.643621,64558.72
15,40.34323,17.07288,9.569179,78807.87
16,48.94204,23.28281,7.051396,70129.07
17,50.78407,20.55171,3.190454,41030.08
18,70.31722,20.43653,8.282282,49800.17
19,40.09599,16.5574,7.592497,82882.6
20,71.25636,22.05316,4.745073,86398.76
21,49.15592,25.29855,9.402155,89391.4
22,30.10877,20.51938,9.761904,75753.05
23,60.10861,21.42536,8.329093,62991.67
24,73.64907,23.04829,8.914683,80169.2
25,23.09566,23.14277,8.283638,151308.26
26,74.50653,26.67545,5.60768,89383.47
27,53.39023,18.14701,9.13196,47487.52
28,60.17807,23.91731,8.108079,72835.58
29,49.07031,15.7657,8.046996,112453.01
30,59.30952,22.50678,16.309953,53942.37
31,38.13897,23.45553,9.242191,101324.37
32,37.8643,24.35871,5.072251,127510.25
33,40.93404,17.9462,10.789831,70372.6
34,48.83539,21.78728,7.370431,79867.07
35,61.15319,15.45962,12.015777,63624.78
36,54.83277,21.48099,9.210092,68027.18
37,49.31054,23.79483,6.105405,106983.67
38,33.24291,19.62174,8.779893,62113.79
39,59.5954,20.19549,10.643159,90147.05
40,32.77764,17.36042,7.753344,58634.79
41,30.00506,20.7241,12.047433,72643.63
42,36.58341,20.62303,11.447005,69606.81
43,46.23877,24.32389,4.462721,71274.79
44,43.86243,23.74024,9.876809,76407.0
45,42.69428,19.54895,5.318793,133887.35
46,39.81298,19.33146,10.398321,76328.11
47,30.16931,18.75827,11.600249,83503.13
48,47.56914,19.27212,9.87405,54328.21
49,72.0344,21.73765,6.55889,64446.65
50,40.96265,19.02519,11.647133,51483.34
51,65.71708,21.56996,11.836892,93456.24
52,66.77646,17.31682,12.036039,58204.38
53,60.83708,16.99439,11.667376,140696.0
54,27.31667,18.36396,7.861619,60408.11
55,32.80462,12.07096,4.005709,105867.09
56,30.708,11.07358,5.301046,79520.74
57,29.00284,10.80803,9.067069,64787.93
58,37.59411,18.30526,4.025821,90171.76
59,34.42687,21.61645,11.537995,65642.7
60,17.07915,20.17793,8.948571,93399.24
61,34.36449,17.90967,11.154126,67897.9
62,59.2687,19.40296,6.94356,126962.95
63,31.89212,16.98409,7.451597,37009.2
64,37.56111,19.20495,6.586649,52302.58
65,55.98981,21.62523,9.481025,76335.69
66,40.28487,14.21112,11.62173,72631.41
67,30.46914,21.15591,8.372235,61692.38
68,66.03676,21.20303,7.654457,74405.04
69,34.21307,24.81469,9.823174,115598.03
70,27.37644,16.97518,9.042124,82685.49
71,53.23168,26.28034,12.118969,68759.61
72,45.92785,16.01805,4.801961,66031.61
73,54.18077,20.08232,8.73789,71222.29
74,38.01772,21.15527,4.208769,84300.71
75,43.59799,12.05415,11.74575,58796.48
76,53.09078,18.54568,11.796233,82147.99
77,29.99265,20.68949,7.729539,82419.21
78,32.87926,19.33031,8.940657,119801.66
79,51.41095,27.17447,18.329891,75504.06
80,47.9779,13.45111,11.132126,146570.08
81,35.55825,19.4097,9.945236,68296.42
82,29.14101,13.93297,8.971434,74088.55
83,29.61948,17.28113,12.037997,78264.02
84,44.66024,21.05967,13.070463,71196.26
85,20.11325,15.43279,9.895172,88512.96
86,46.15706,20.18894,9.892874,87912.56
87,47.35069,21.03832,10.722192,80451.24
88,51.10651,20.13089,7.559437,66038.31
89,48.27315,10.3783,12.464415,98932.62
90,38.5025,19.29832,7.388185,80638.58
91,53.28329,12.42103,7.895045,101985.5
92,49.31968,19.53016,8.827714,73867.61
93,38.0076,22.62315,12.517871,90192.24
94,53.36149,8.137238,6.994116,69913.85
95,35.75494,21.967824,9.813626,112393.09
96,56.64582,23.837922,5.935521,123464.06
97,28.05017,16.425267,6.254481,86019.33
98,24.43639,12.866443,6.416575,148445.96
99,36.74151,28.701275,8.129796,80811.35
100,38.44644,17.499035,13.788666,40740.36
101,51.60427,23.256626,9.162857,113990.66
102,36.29387,28.219647,8.963647,82586.93
103,49.3156,12.754421,4.901094,82253.48
104,42.52603,15.259872,3.753026,98887.66
105,45.03535,15.910588,9.673983,75471.23
106,53.58968,17.479152,6.593206,91513.09
107,50.87313,24.091647,7.940116,97160.34
108,29.3276,19.529077,10.961814,71864.04
109,43.23371,20.996555,6.999479,80595.78
110,47.97023,20.23424,7.154808,59411.27
111,44.65048,27.328523,14.482146,85489.6
112,40.88238,24.668105,11.988798,83573.67
113,60.2047,20.198805,10.273794,82421.41
114,65.15516,21.949589,10.585712,98945.42
115,32.20217,14.826891,9.218406,146964.81
116,37.17285,22.7837,7.315164,66272.44
117,30.44062,25.138475,12.562336,47665.64
118,35.86371,19.840702,6.635114,41424.97
119,30.63162,16.019532,7.514517,83331.98
120,42.60764,21.602281,17.086731,67496.96
121,57.73959,12.305945,9.00786,76451.16
122,31.38305,15.636574,10.525487,77413.24
123,58.13541,18.106384,16.486638,107587.47
124,35.82881,19.423973,7.309619,77526.42
125,68.88249,22.090155,14.8644,110987.88
126,46.70652,16.885189,9.01801,69819.33
127,31.12646,21.249885,11.697476,101817.43
128,42.66868,18.27247,9.760996,74475.27
129,31.61076,11.234297,6.70918,122158.67
130,56.33099,26.185505,9.934473,33775.53
131,39.33735,18.002097,11.847989,56643.66
132,48.91147,29.133117,9.501423,103969.81
133,56.47646,17.98387,4.972028,66427.01
134,56.26601,9.465954,12.34514,85899.42
135,58.69934,18.436137,11.033998,62042.85
136,25.31114,17.845583,7.296366,66871.23
137,57.00776,21.864336,8.63718,74885.32
138,53.28534,16.547591,11.538002,55470.34
139,60.53039,22.460815,13.184704,88370.66
140,33.55877,9.944407,11.112688,83797.1
141,43.61545,23.225817,9.68971,65699.67
142,35.07665,20.863693,6.412714,77843.35
143,39.57854,21.386383,10.567394,117153.92
144,37.49684,19.443633,7.181405,77323.89
145,42.52914,13.509524,6.119707,89817.85
146,50.02612,22.001886,3.777727,51482.5
147,37.92675,22.056532,5.764179,99039.02
148,44.07668,18.723714,7.390685,114560.44
149,45.43558,6.673574,11.40097,95364.58
150,40.49844,17.008992,5.818384,82847.59
151,61.05408,20.565637,8.52238,86695.77
152,35.79037,17.460296,11.633657,88314.46
153,28.61154,12.219782,8.810261,72582.23
154,38.61909,22.276471,7.378144,65930.17
155,30.43024,15.175543,9.922323,85110.24
156,34.25194,17.393009,8.575006,96994.6
157,47.02553,12.668068,12.700408,60320.09
158,36.08651,23.1413,2.608209,57766.82
159,36.16361,21.482519,8.227578,67820.5
160,51.27636,18.154857,12.712326,68380.93
161,34.33741,8.793269,9.926466,67153.05
162,39.02983,22.989621,11.581594,81145.29
163,14.54485,18.789259,7.402595,81788.69
164,40.82427,15.866612,13.035596,105208.61
165,56.78615,19.68982,8.022191,84873.58
